Image Name,Category,No.1 Style,No.2 Style,No.3 Style,No.4 Style,Style 1 Keywords,Style 2 Keywords,Style 3 Keywords,Style 4 Keywords,Neuron No.1 Style,Neuron No.2 Style,Neuron No.3 Style,Neuron No.4 Style,Neuron Style 1 Keywords,Neuron Style 2 Keywords,Neuron Style 3 Keywords,Neuron Style 4 Keywords,Origin Neuron Focus,Origin Neuron Cognitive Demand,Origin Neuron Engagement,Origin Neuron Memory,Style 1 Neuron Focus,Style 1 Neuron Cognitive Demand,Style 1 Neuron Engagement,Style 1 Neuron Memory,Style 2 Neuron Focus,Style 2 Neuron Cognitive Demand,Style 2 Neuron Engagement,Style 2 Neuron Memory,Style 3 Neuron Focus,Style 3 Neuron Cognitive Demand,Style 3 Neuron Engagement,Style 3 Neuron Memory,Style 4 Neuron Focus,Style 4 Neuron Cognitive Demand,Style 4 Neuron Engagement,Style 4 Neuron Memory,Style 1 Heatmap %,Style 1 Red Dot %,Style 1 Yellow Dot %,Style 1 Green Dot %,Style 2 Heatmap %,Style 2 Red Dot %,Style 2 Yellow Dot %,Style 2 Green Dot %,Style 3 Heatmap %,Style 3 Red Dot %,Style 3 Yellow Dot %,Style 3 Green Dot %,Style 4 Heatmap %,Style 4 Red Dot %,Style 4 Yellow Dot %,Style 4 Green Dot %,Original Heatmap %,Original Red Dot %,Original Yellow Dot %,Original Green Dot %
Image 53: Pizza Store,Restaurant,3,1,4,2,"Cabin look, brown wood, warm and welcoming","Unfitting, too bright, extreme","Simple design, natural scheme, good contrast","Outdated look, green accents, misplaced",1,2,4,3,"Upper Window, Store Sign, Broad Focus","Upper Window, Store Sign, Expanded Focus","Upper Window, Less Sign, Minimal Else","Central Window, Store Sign, Minimal Else",54,42,65,26,75,35,66,31,77,34,60,39,77,31,76,35,81,31,72,30,37.564,4.619,6.065,23.143,26.429,4.983,4.021,13.561,29.991,3.791,4.487,19.316,26.064,3.542,3.431,17.278,36.442,5.84,5.013,15.129
Image 54: American Food,Restaurant,2,3,4,1,"Bright red, too many colors, complex","Neat, modern, color-enhanced","Colorful sign, contrast, sharp features","Modern, colorful, too much going on",2,4,1,3,"Store Sign, Central Focus, Minimal Else","Store Sign, Lower Window, Broad Focus","Store Sign, Smaller Focus, Minimal Else","Store Sign, Lower Window, Similar Focus",58,35,72,54,49,28,64,29,43,27,54,22,62,27,63,36,48,25,71,27,44.257,3.31,6.621,21.971,44.699,5.926,2.536,16.726,38.039,4.528,3.461,19.453,43.954,5.881,6.478,18.954,43.781,2.628,4.235,28.721
Image 55: Indian Food,Restaurant,2,4,1,3,"Too bright, complex, neat finish","Simple white sign, dark backdrop, natural colors","Dull, unappealing, poorly illuminated","Modern, polished, brown-green contrast",4,1,2,3,"Store Sign, Largest Focus, Minimal Else","Store Sign, Two Segments, Lower Half","Upper Window, Less Sign, Window Dominant","Store Sign, Upper Segments, Lower Half",83,35,79,39,78,32,64,37,76,34,64,22,73,28,65,23,70,30,71,31,29.821,5.047,3.099,12.118,23.62,3.993,2.261,8.453,26.672,3.847,2.604,9.17,26.66,4.853,3.489,13.89,34.236,2.611,3.154,16.581
Image 56: Indian Vegan Food,Restaurant,4,2,1,3,"Too many colors, red sign, extreme","Modern, natural, black-white roof","Bright, animated, rainbow-like","Modern, appealing, green-light contrast",2,4,1,3,"Store Sign, Single Focus, Minimal Else","Store Sign, Lower Door, Equal Focus","Store Sign, Lower Window, Less Else","Store Sign, Lower Door, Dual Focus",64,35,73,26,79,30,60,25,60,25,78,18,75,25,47,22,68,26,65,25,26.255,3.371,2.943,11.322,27.393,4.018,2.282,9.567,24.307,4.303,1.984,10.298,30.721,3.701,3.575,12.433,36.712,2.762,4.202,15.046
Image 57: Mexican Food,Restaurant,2,3,4,1,"Too bright, extreme, unnecessary contrast","Soft, natural, modern","Yellow-orange contrast, warm, welcoming","Light brown, green contrast, plain storefront",1,3,2,4,"Store Sign, Two Segments, Minimal Else","Store Sign, Two Segments, Minimal Else","Store Sign, Bottom Window, Less Focus","Store Sign, Central Focus, Window Extension",71,45,68,32,76,37,72,47,82,34,65,33,76,31,75,27,78,31,79,42,24.597,3.723,2.738,12.211,19.031,3.025,1.61,6.906,24.896,2.764,3.265,12.376,23.628,3.219,2.801,11.201,31.858,3.063,3.953,13.978
Image 58: Pizza Store,Restaurant,4,1,3,2,"Red sign, plain backdrop, enhanced","Plain, gray, boring","Bright sign, black backdrop, colorful","Black sign, wooden backdrop, naturally modern",2,1,3,4,"Store Sign, Door, Largest Focus","Store Sign, Extended Sign, Minimal Else","Store Sign, Minimal Else, Central Focus","Store Sign, Central Focus, Minimal Else",51,33,73,47,72,35,82,47,68,33,59,41,79,31,85,32,82,30,69,36,28.981,2.389,3.994,15.788,27.59,3.693,2.842,11.028,24.169,4.533,1.915,13.342,22.323,2.652,4.453,9.514,28.869,5.303,2.667,11.419
Image 59: Mexican Food,Restaurant,2,4,1,3,"Unappealing, light blue sign, orange clash","Natural scheme, brown-gray contrast, enhanced","Complex, purple overload, unfitting","Modern, soothing, green-brown balance",3,2,1,4,"Left Sign, Bottom Window, Expanded Focus","Left Sign, Bottom Window, Extended Focus","Left Sign, Bottom Window, Less Focus","Left Sign, Bottom Window, Some Surrounding",59,36,75,51,57,27,54,40,48,26,63,27,56,27,60,33,59,26,64,31,41.283,7.601,5.333,20.122,42.326,5.616,2.511,14.627,36.176,5.446,3.533,17.585,39.149,5.437,6.329,16.564,51.483,3.864,7.167,20.366
Image 60: Rice Noodles,Restaurant,2,1,4,3,"Bold, red-yellow sign, modern","Orange-white sign, black features, modern appeal","Extreme, blue sign, unfitting","Compressed sign, visually appealing",3,4,2,1,"Upper Sign, Lower Sign, Less Else","Upper Sign, Minimal Else, Central Focus","Lower Sign, Upper Sign, Downward Extension","Upper Sign, Lower Sign, Dual Focus",81,37,82,43,80,29,67,28,72,29,75,40,40,27,56,36,47,29,45,40,28.061,4.077,4.333,12.926,32.044,6.221,3.688,13.941,43.614,6.116,5.235,23.733,40.8,5.474,5.78,19.526,44.957,4.765,4.844,18.854
Image 61: Mexican American Food,Restaurant,2,1,3,4,"Warm, inviting, red frame","Modern, gray-white, bold","Bright purple-orange-aqua, too extreme","Overwhelming brown, old-fashioned, cabin-like",3,1,2,4,"Three Regions, Small Circles, Minimal Else","Store Sign, Wall Corner, Dual Focus","Store Sign, Wall Corner, Strong Focus","Wall Corner, One Region, Minimal Else",63,36,70,51,67,38,74,56,80,36,63,46,69,35,68,42,79,31,62,48,37.6,5.166,6.562,18.467,28.933,5.217,2.379,10.296,36.258,4.164,3.85,17.401,26.756,6.285,7.537,10.214,23.532,0.887,2.088,9.484
Image 62: Mexican Food,Restaurant,4,2,3,1,"Too bright, complex design","Modern, simple, gray contrast","Cropped, otherwise appealing","Modern, fitting, brown roof contrast",4,2,3,1,"Roof Center, Window, Left Wheel","Roof Center, Window, Left Wheel","Yellow Sign, Roof, Minimal Else","Roof Center, Window, Left Wheel",70,37,68,56,70,32,55,42,69,32,58,46,81,31,71,48,70,32,65,37,34.904,4.542,4.19,17.239,32.273,7.689,1.75,15.374,21.134,2.327,1.796,12.435,30.403,4.585,5.506,17.138,35.66,3.113,4.728,17.421
Image 63: Tea Cafe,Restaurant,2,4,1,3,"Unnaturally bright, complex, cluttered","Simple, modern, white-gray contrast","Dull, hazy, ineffective blue details","Modern, luxurious, welcoming brown walls",4,1,2,3,"Store Sign, Window Wall, Sign Dominant","Store Sign, Window Wall, Wall Dominant","Store Sign, Window Wall, Wall Dominant","Store Sign, Window Wall, Wall Dominant",78,55,80,43,79,42,65,52,76,39,62,45,72,32,52,38,79,35,57,46,32.053,4.949,4.548,16.809,26.704,3.856,1.725,9.614,26.932,4.167,3.532,9.674,25.824,4.196,4.264,14.699,33.623,2.702,2.371,14.722
Image 64: Japanese Cuisine,Restaurant,2,4,3,1,"Obstructed, shadows, unclear features","White-black contrast, vivid reflections","Orange sign, neon blue, unnatural contrast","Brown-white, modern, attractive",1,2,3,4,"Central Window, Store Sign, Lower Door","Store Sign, Central Window, Lower Door","Store Sign, Central Window, Lower Door","Store Sign, Central Window, Dual Focus",62,43,80,38,75,38,61,41,77,34,58,32,79,31,66,29,84,32,55,38,26.973,3.416,3.866,14.569,26.285,3.42,2.169,12.729,21.971,2.63,2.333,12.886,23.251,3.463,3.026,12.295,34.15,1.881,3.025,18.511
Image 65: Shabu,Restaurant,4,2,1,3,"Bright red sign, shadowed, high contrast","Black frame, reflective windows, bold","Complex colors, cluttered, messy","Light brown, modern, simple",3,4,1,2,"Store Sign, Largest Region, Minimal Else","Store Sign, Central Focus, Minimal Else","Store Sign, Largest Focus, Minimal Else","Store Sign, Dual Segments, Minimal Else",74,47,65,31,81,33,53,29,84,28,60,30,49,32,55,18,60,30,53,35,23.872,2.153,5.032,9.861,21.663,2.914,2.914,10.318,37.203,6.263,2.662,17.814,30.771,3.566,4.861,12.903,41.006,3.39,4.399,19.094
Image 66: Korean Kitchen,Restaurant,4,1,2,3,"Luxurious, gold sign, bold black frames","Dark brown frames, complex, colorful artwork","Overly bright, white frames, messy illustrations","Green contrast, transparent, visually welcoming",2,3,4,1,"Store Sign, Small Focus, Minimal Else","Store Sign, Central Focus, Minimal Else","Store Sign, Small Focus, Minimal Else","Store Sign, Small Focus, Minimal Else",82,43,68,24,94,33,57,32,92,33,71,30,88,34,71,43,92,36,52,29,19.432,3.39,3.78,7.566,11.027,1.34,2.115,6.985,17.108,2.797,2.576,6.739,15.31,2.771,1.911,5.439,30.094,4.07,2.887,10.465
Image 67: Liquor Bar,Restaurant,2,4,3,1,"Bright red sign, too much contrast, bold","Natural scheme, gray-light contrast, striking art","Intricate, complex, unnatural","Black frame, green contrast, bold",1,2,4,3,"Door, Window Sign, Store Sign","Store Sign, Door, Minimal Else","Door, Store Sign, Minimal Else","Door, Store Sign, Minimal Else",59,55,77,22,82,41,68,42,76,43,61,31,88,37,62,23,88,37,60,39,24.955,3.278,6.177,13.248,28.356,4.711,4.557,10.88,15.081,2.255,1.921,7.55,14.592,1.609,1.556,6.629,38.779,3.154,3.817,21.111
Image 68: Food Court,Restaurant,2,4,1,3,"Bright red sign, many colors, complex","Simple, elegant, black-light contrast","Dull, unappealing, rainbow colors","Black-green contrast, warm, welcoming",4,3,2,1,"Door, Store Sign, Minimal Else","Door, Cursive Sign, Minimal Else","Adjacent Sign, Store Sign, Minimal Else","Door, Store Sign, Some Surrounding",89,36,87,57,82,40,71,56,74,37,76,48,67,35,73,46,67,36,78,40,28.29,5.958,6.173,12.442,28.553,5.33,1.473,8.513,35.295,3.934,4.659,17.895,26.553,4.139,2.282,11.591,23.838,2.338,4.408,8.341
Image 69: Pizza,Restaurant,2,1,3,4,"Vivid red sign, bold, good scheme","Simple, natural, gray-brown modern","Bright sign, light, distinctive colors","Unappealing, dark signage, clutter",3,1,2,4,"Central Window, Store Sign, Two Segments","Central Window, Minimal Else, Strong Focus","Central Window, Upper Sign, Strong Focus","Central Window, Minimal Else, Small Focus",64,39,74,47,64,35,57,44,77,33,57,41,71,31,53,36,79,30,55,38,34.168,5.955,5.959,15.217,27.331,6.653,2.68,7.155,23.721,3.139,2.691,11.135,23.845,3.672,3.624,14.977,25.865,1.566,2.069,11.718
Image 70: Bar and Restaurant,Restaurant,2,4,3,1,"Dark, Unnatural, Illegible","Modern, Appealing, Polished","Unnaturally Bright, Colorful, Overloaded","Modern, Contrasting, Natural",1,3,4,2,"Store Sign, Wall Below, Left Door","Store Sign, Wall Below, Minimal Else","Store Sign, Wall Below, Some Left Window","Store Sign, Wall Below, Two Regions",76,36,75,48,67,31,59,45,83,33,57,33,70,30,45,46,89,29,68,43,35.146,4.767,6.359,16.392,20.528,3.382,1.215,8.587,28.843,2.387,2.713,13.633,14.34,2.136,2.004,9.077,32.762,4.395,3.675,11.745
Image 71: Korean Restaurant,Restaurant,2,4,1,3,"Bright Red, Cluttered, Unnatural","Modern, Simple, Complementary","Rainbow Colors, Complex, Unnatural","Warm, Welcoming, Modern",2,1,3,4,"Store Center, Store Sign, Dual Focus","Store Center, Broad Area, Store Sign","Store Sign, Center Image, Three Regions","Store Center, Circular Region, Store Sign",69,51,72,40,69,46,73,32,68,38,69,35,74,38,78,31,86,36,62,49,31.558,3.769,5.299,13.938,28.79,4.001,2.248,8.925,32.032,7.743,2.729,8.875,19.288,3.757,3.048,7.702,35.511,3.803,7.924,14.82
Image 1: Wax Center,Salon,2,4,1,3,"Great Contrast, Bold, Red Roof","Nice Combination, Luxurious Feel, Black Window Frames","Dramatic, Animated, Bright Purple","Light Orange, Dark Green, Luxurious Feel",1,4,2,3,"Store Sign, Door, Dual Focus","Store Sign, Door, Sign Dominant","Store Sign, Door, Secondary Focus","Store Sign, Main Focus, Minimal Else",54,58,64,35,70,28,51,22,70,26,52,23,63,28,63,31,70,27,51,26,31.234,6.194,3.954,14.131,31.356,3.489,3.4,15.502,40.881,6.657,3.906,24.041,30.418,3.938,4.016,14.419,70.04,9.861,8.339,26.149
Image 2: Private Dental Care,Salon,2,1,4,3,"Nice Contrast, White Store Sign, Bright Red Backdrop","Light Brown, Luxurious Feel, Black Backdrop","Dull, Run-Down, Ancient Look","Difficult To Read, Light Brown Wood, Polished",3,2,4,1,"Left Word, Right Word, Window","Four Regions, Upper Left, Window","Store Sign, Window, Broad Focus","Left Word, Right Word, Window",49,38,77,39,41,31,55,33,34,28,59,32,29,27,64,36,38,29,62,34,53.592,7.4,6.72,25.543,56.098,11.282,6.249,28.525,52.64,8.39,8.343,18.546,50.634,7.629,5.995,23.097,48.332,3.149,1.497,19.436
Image 3: Chinese Style Haircut,Salon,2,1,4,3,"Bright Red Store Sign, Neat, Window Reflections","Gray Store Sign, Orange Outline, Polished Feel","Rainbow-Like, Vibrant Colors, Eccentric","Light Brown Wood, Luxurious, Shadows",1,3,4,2,"Store Sign, Central Window, Dual Focus","Central Window, Single Focus, Minimal Else","Store Sign, Central Window, Balanced Focus","Store Sign, Central Window, Window Dominant",59,46,58,45,34,28,59,38,61,28,56,15,43,27,71,22,52,27,66,23,60.976,10.272,9.548,26.105,39.862,5.171,4.045,14.396,51.175,6.851,4.05,22.467,44.834,7.248,7.248,18.962,84.822,8.502,10.78,23.746
Image 4: Beauty Studio,Salon,4,3,1,2,"Red Store Walls, Extreme, Out of Place","Dark Black, Gloomy, Unwelcoming","Light Purple, Dream-Like, Soft","Natural, Green Store Sign, Light Brown Wood",1,4,3,2,"Central Area, Store Sign, Minimal Else","Left Window, Store Sign, Dual Focus","Central Area, Single Focus, Minimal Else","Store Sign, Central Area, Sign Dominant",76,69,64,41,72,42,73,30,77,41,58,37,75,36,60,38,70,36,64,39,34.39,6.116,5.522,17.068,27.078,2.839,2.661,16.593,28.976,4.583,2.983,11.359,31.717,5.742,4.826,11.197,38.057,2.518,2.616,21.795
Image 5: Beauty Salon,Salon,2,4,1,3,"Bright Colors, Extreme, Animated","Light Orange, Bold, Polished","Rainbow-Colored, Unnecessary Colors, Poor Contrast","Light Brown Wood, Aqua Blue, Luxurious",3,4,1,2,"Left Sign, Right Sign, Central Window","Left Sign, Right Sign, Balanced Focus","Left Sign, Right Sign, Window, Four Regions","Left Sign, Right Sign, Central Window",39,43,71,46,37,31,63,27,52,29,57,28,38,27,76,26,40,32,61,33,53.217,7.746,10.194,27.128,43.027,9.605,3.234,15.87,49.742,6.326,6.307,22.645,47.909,4.287,5.04,22.774,51.836,2.452,2.447,23.825
Image 6: Barber Shop,Salon,4,1,3,2,"Bold Sign, Purple Outline, Light Window","Black Store Signs, Dark, Difficult To Read","Bold, Polished, Difficult To Read","White Store Sign, Black Backdrop, Complementary",3,1,4,2,"Right Word, Lower Window, Store Sign","Right Window, Single Focus, Minimal Else","Store Sign, Bottom Window, Five Regions","Central Window, Store Sign, Minimal Else",71,46,75,33,62,37,80,50,74,34,57,38,52,34,60,31,60,37,73,26,34.898,5.624,5.79,17.301,26.595,3.046,3.082,17.125,38.802,6.021,3.18,17.009,36.589,2.989,6.031,16.825,29.774,1.954,2.24,12.167
Image 7: Beauty Spa,Salon,4,2,1,3,"Bright Red, Extreme, Enhancing","Warm, Welcoming, Difficult To Read","Dull, Unwelcoming, Blends In","Light Brown, Polished, Black Window Frames",2,3,4,1,"Store Sign, Upper Window, Dual Focus","Store Sign, Upper Window, Bulletin Board","Store Sign, Upper Window, Lower Window, Four Regions","Store Sign, Upper Window, Window Dominant",62,58,76,42,76,40,66,57,53,38,59,48,59,35,59,31,55,39,73,54,30.111,3.457,4.395,13.549,38.821,5.63,3.574,16.355,35.086,3.611,3.969,18.836,39.012,6.824,4.818,18.701,31.191,1.538,0.991,14.552
Image 8: Foot Massage,Salon,2,4,3,1,"Bright Red, Extreme, Dramatic","White Store Sign, Neat, Polished","Bright Color, Shadows, Enhancing","Dark Wood, Luxurious, Ancient",2,4,3,1,"Left Sign, Below Roof, Lower Window","Left Sign, Below Roof, Artwork","Below Roof, Main Focus, Broad Area","Left Sign, Below Roof, Lower Window",42,32,72,67,64,38,69,61,50,35,71,44,52,34,63,50,48,32,77,48,37.014,6.501,6.715,15.271,40.018,5.68,3.133,13.819,40.404,5.298,4.675,21.143,40.807,2.923,4.597,22.961,24.335,0.594,0.55,12.306
Image 9: Hair Nail Bar,Salon,1,4,2,3,"Bold, Natural, Black And Red","Black Store Sign, Polished, Neat","Bright Colors, Cheap Appearance, Shadows","Light Brown Wood, Too Much Brown, Contrast",2,4,3,1,"Left Window, Right Window, Broad Focus","Store Sign, Left Window, Bottom Right","Left Window, Main Focus, Secondary Features","Left Window, Bottom Right, Minimal Else",46,45,75,25,76,37,62,24,73,33,65,12,81,34,65,25,74,31,51,26,29.637,6.143,4.811,13.807,27.974,3.064,3.201,13.968,23.893,3.83,4.388,11.255,30.922,8.564,3.938,8.65,37.772,1.885,4.079,21.946
Image 10: Beauty Salon,Salon,2,1,4,3,"Bold, Neat, Bright Red","Orange Store Sign, Black Backdrop, Brown Walls","Impossible To Read, Cartoonish, Bright Colors","Gloomy, Green And Brown, Blurred Features",1,2,3,4,"Store Sign, Bottom Windows, Six Regions","Store Sign, Bottom Windows, Largest Attention","Door, Adjacent Region, Dual Focus","Central Window, Large Focus, Minimal Else",56,43,70,47,66,32,76,34,69,33,68,52,76,31,76,31,76,34,66,45,27.956,4.367,4.483,13.732,26.65,2.297,2.234,14.522,24.629,5.203,3.256,8.596,23.339,2.137,2.025,10.968,23.464,1.335,2.481,10.939
Image 11: Massage Store,Salon,2,1,4,3,"Bright Red Store Sign, Suitable, Complementary","Gray Store Sign, Bold, Neat","Bright Colors, Animated, Cartoonish","Light Brown Wood, Warm, Welcoming",2,4,3,1,"Store Sign, Right Window, Upper Center","Store Banner, Single Focus, Minimal Else","Central Window, Store Sign, Secondary Focus","Left Window, Black Door, Roof Bottom",61,35,85,43,71,38,62,39,48,36,67,27,52,31,85,37,52,31,72,39,33.261,2.834,8.395,18.813,47.715,6.414,4.106,21.942,42.116,7.654,6.069,22.059,43.526,9.934,6.888,21.278,52.184,10.543,11.249,16.035
Image 12: Wellness Center,Salon,2,4,1,3,"Bright Colors, Extreme, Enhancing","Bold, Neat, Simplistic","Purple Features, Soft, Dull","Light Brown, Warm, Bold Sign",4,1,3,2,"Central Door, Broad Focus, Surrounding Minimal","Central Door, Single Focus, Minimal Else","Central Door, Main Focus, Secondary Minimal","Central Door, Store Sign, Dual Focus",79,34,56,47,81,41,58,58,86,37,47,55,90,35,66,50,85,36,57,58,25.819,5.775,4.469,10.546,20.61,3.7,1.832,10.446,17.607,1.946,1.986,10.286,20.457,3.663,3.579,9.267,14.522,2.373,1.126,5.89
Image 13: Nail Bar,Salon,4,2,1,3,"Bright Colors, Dramatic, Vibrant","Light Orange, Luxurious, Well-Pronounced","Gray Walls, Gloomy, Dark","Dark Green, Neat, Polished",1,3,2,4,"Left Sign, Right Sign, Central Door","Right Sign, Right Window, Central Door","Central Door, Right Sign, Minimal Else","Central Door, Three Small, Main Focus",78,42,68,32,75,36,77,35,78,34,61,30,78,33,80,37,76,41,72,41,31.285,4.42,5.036,15.736,27.784,6.708,2.839,12.817,24.616,4.249,2.45,10.927,32.34,4.362,3.601,12.658,36.148,3.284,2.069,14.179
Image 14: Hair Salon,Salon,2,4,3,1,"Too Many Colors, Yellow Lining, Out of Place","Orange Features, Natural, Simplistic","Brighter Parts, Unnatural Contrast, Extreme","Brown Wood, Modern, Well-Defined",2,4,1,3,"Central Door, Store Sign, Minimal Else","Store Sign, Central Door, Dual Focus","Central Door, Single Focus, Minimal Else","Central Door, Main Focus, Minimal Else",54,41,65,29,87,38,64,30,69,32,67,39,86,32,64,40,84,38,69,38,26.903,7.179,4.972,8.728,30.027,6.943,3.33,11.575,24.332,4.229,2.388,9.72,24.059,3.853,2.787,8.984,41.386,3.485,1.899,9.198
Image 15: Massage Center,Salon,1,2,4,3,"Red Store Sign, White Backdrop, Complementary","Black And White, Modern, Simplistic","Maroon Red, Shadows, Too Many Colors","Green-Brown, Not Neat, Less Polished",2,4,1,3,"Left Sign, Right Sign, Central Door","Left Sign, Right Sign, Central Door","Central Door, Left Sign, Right Sign","Store Sign, Central Door, Balanced Focus",60,38,59,35,79,39,71,24,67,37,68,24,82,34,69,35,77,31,63,40,29.471,4.071,4.494,12.777,32.274,6.819,3.31,12.324,25.685,3.513,3.298,14.188,22.937,3.533,1.534,10.878,38.707,3.596,1.877,12.486
Image 16: Tattoo Bar,Salon,2,4,1,3,"Red Store Sign, Natural, Suitable","Black Store Sign, Neat, Well-Defined","Comic-Like, Bright, Vivid Colors","Dark Green, Modern, Black Strands",4,3,2,1,"Central Door, Store Sign, Minimal Else","Central Door, Store Sign, Minimal Else","Left Sign, Right Sign, Central Door","Store Sign, Central Door, Store Dominant",71,37,48,28,90,34,63,31,80,32,58,31,79,31,70,26,78,39,66,41,23.058,3.052,3.501,8.766,27.07,7.097,3.477,12.328,24.356,3.331,2.45,13.113,24.485,3.669,4.208,12.745,31.726,2.337,2.437,10.623
Image 17: Hair Salon,Salon,1,4,2,3,"Bright, Welcoming, Red Window Frames","White Window Frames, Difficult To Read, Contrast","Bright Blue, Peach Red, Unfitting","Light Brown Wood, Modern, Well-Defined",1,4,3,2,"Five Regions, Scattered, Highest Attention","Upper Window, Dual Focus, Minimal Else","Upper Window, Right Focus, Store Sign","Upper Window, Scattered, Store Sign",71,49,60,47,72,42,61,48,88,40,67,37,78,38,68,39,76,38,61,43,27.153,3.277,4.182,10.228,21.428,4.319,2.323,7.554,24.73,3.087,1.883,15.585,30.105,5.598,4.014,13.633,38.463,1.85,2.416,14.454
Image 18: Hair Salon,Salon,3,1,4,2,"Bold Sign, Compliments, Clear","Black Store Sign, Difficult To Read, Blurry","Aqua Blue, Neat, Modern","Green-White, Soft, Dull",3,1,2,4,"Store Sign, Bottom Window, Three Regions","Bottom Right, Store Sign, Dual Focus","Store Sign, Windows, Artwork","Bottom Right, Single Focus, Minimal Else",81,43,61,21,71,34,81,40,77,34,58,33,54,36,60,39,77,33,51,29,32.088,4.317,4.992,14.605,30.898,4.687,2.186,12.307,36.364,3.93,4.918,18.518,26.636,2.263,0.841,11.006,33.614,6.248,3.954,13.555
Image 19: Barber Shop,Salon,2,1,3,4,"Warm Color Scheme, Fitting, Natural","White Store Sign, Neat, Well-Defined","Colorful, Bright, Nice Scheme","Alternating Colors, Difficult To Read, Simplistic",4,3,1,2,"Central Door, Left Sign, Expanded Focus","Central Door, Left Sign, Minimal Else","Central Door, Left Sign, Broad Focus","Left Sign, Right Sign, Central Door",65,49,44,24,75,40,60,28,80,39,54,30,68,36,71,26,64,41,38,26,26.359,3.451,3.357,14.939,27.533,5.182,3.873,12.003,31.415,6.238,4.929,13.368,31.94,2.952,3.811,14.92,42.331,3.784,2.42,21.659
Image 20: Kids Barber Shop,Salon,1,2,4,3,"Bold Sign, Neat, Modern","Orange Store Sign, Sharp, Clear","Bright Colors, Complex, Too Many Colors","Dark Green Store Sign, Extreme, Poor Contrast",1,2,3,4,"Store Sign, Bottom Figure, Dual Focus","Store Sign, Bottom Figure, Minimal Else","Store Sign, Single Focus, Minimal Else","Store Sign, Single Focus, Minimal Else",74,33,62,33,66,24,58,19,66,24,58,19,48,27,61,18,60,24,53,33,32.561,5.764,3.588,13.721,34.024,6.068,3.833,13.767,43.734,6.059,3.652,19.517,41.3,6.145,4.933,22.106,38.246,1.018,0.914,19.761
Image 21: Massage Center,Salon,1,4,2,3,"Strong Contrast, Clear, Sharp appearance","Dark, Indistinct, Unfriendly","Cheap Look, Purple, Unattractive","Shadows, Natural, Soft",3,4,1,2,"Upper Sign, Single Focus, Minimal Else","Upper Sign, Single Focus, Minimal Else","Store Sign, Central Window, Dual Focus","Upper Sign, Lower Sign, Dual Focus",49,25,84,48,59,25,53,48,63,26,39,20,40,24,62,22,59,25,55,26,39.234,7.152,5.1,18.776,43.148,7.925,3.52,18.168,48.071,5.509,3.803,17.053,39.06,4.454,3.491,18.765,30.482,2.685,2.833,13.919
Image 22: Hair Salon,Salon,3,2,1,4,"Bright, Red-Blue Contrast, Shadowed","Modern, Neat, Low Contrast","Colorful, Dark Background, Welcoming","Blurry, Cluttered, Wooden",3,2,1,4,"Left Sign, Right Sign, Bottom Windows","Left Sign, Right Sign, Bottom Windows","Left Sign, Right Sign, Bottom Windows","Right Sign, Central Window, Minimal Else",48,32,73,40,60,34,67,33,57,33,68,30,50,32,70,25,61,32,71,40,33.357,3.839,5.315,16.919,33.014,3.8,2.655,14.201,36.308,5.232,4.593,17.779,41.493,5.232,5.311,17.061,31.58,1.162,2.209,15.582
Image 23: Beauty Salon,Salon,2,1,4,3,"Eye-Catching, Red, Well Matched","Tidy, Gray-White Contrast, Modern","Purple Roof, Cheap Feel, Aged","Blurry, Natural, Brown-Green",4,3,1,2,"Left Sign, Right Sign, Bottom Windows","Left Sign, Right Sign, Minimal Else","Left Sign, Right Sign, Roof Center","Left Sign, Right Sign, Roof Center",67,31,76,38,76,37,62,24,77,31,51,23,74,30,74,39,63,29,71,35,27.827,3.066,3.781,14.929,31.977,3.665,1.603,11.415,27.301,5.142,2.718,9.972,31.922,5.629,6.947,11.977,29.704,2.012,2.194,14.237
Image 24: Hair Salon,Salon,2,4,1,3,"Abrupt Colors, Over Contrast, Deep Blue","Clear, Reflective, Pale","Bright, Cheap Look, Unattractive","Soft, Brown-Green, Modern",4,1,2,3,"Left Below Sign, Right Below Sign, Uneven Focus","Center Below Sign, Broad Area, Minimal Else","Center Below Sign, Smaller Focus, Minimal Else","Left Below Sign, Right Below Sign, Dual Focus",51,50,58,41,75,42,66,42,78,36,67,36,91,36,61,27,79,41,79,33,31.312,6.226,5.061,15.391,24.749,2.596,1.85,9.823,20.535,4.679,1.321,3.211,26.743,4.495,3.083,8.529,41.329,1.438,1.379,20.545
Image 25: Hair and Nail Salon,Salon,3,2,4,1,"Bright Red, Cartoonish, Vivid","Black Frame, Clear, Contrasting","Soft, Natural, Brown-Gray Harmony","Colorful, Cluttered, High Contrast",3,1,4,2,"Left Window, Right Window, Equal Focus","Left Window, Right Window, Central Door","Right Window, Left Window, Central Door","Left Window, Central Door, Expanded Focus",76,53,73,14,74,38,72,26,77,33,62,24,66,38,66,27,75,35,56,47,30.438,4.708,6.624,16.796,27.651,4.944,1.89,10.491,32.568,6.245,5.17,13.571,26.948,2.3,3.464,13.222,31.531,2.879,2.293,14.149
